AlleleID.s.,Clinsig,af,an,AD_AR
1,Benign,0.01,20000,1
2,Benign,0.003,20000,1
3,Path,0.0001,20000,1
4,Benign,0.03,20000,0
5,Benign,0.005,20000,0
6,Path,0.0001,20000,0
7,Benign,0.03,10000,1
8,Benign,0.01,10000,1
9,Benign,0.003,10000,1
10,Benign,0.0001,10000,1
11,Benign,0.05,10000,0
12,Benign,0.02,10000,0
13,Benign,0.005,10000,0
14,Benign,0.0001,10000,0
15,Benign,0.01,19000,1
16,Benign,0.003,19000,1
17,Path,0.0001,19000,1
18,Benign,0.03,19000,0
19,Benign,0.005,19000,0
20,Path,0.0001,19000,0
21,Benign,0.01,16000,1
22,Benign,0.003,16000,1
23,Path,0.0001,16000,1
24,Benign,0.03,16000,0
25,Benign,0.005,16000,0
26,Path,0.0001,16000,0
27,Benign,0.03,12000,1
28,Benign,0.01,12000,1
29,Benign,0.003,12000,1
30,Benign,0.0001,12000,1
31,Benign,0.05,12000,0
32,Benign,0.02,12000,0
33,Benign,0.005,12000,0
34,Benign,0.0001,12000,0
35,Benign,0.03,13000,1
36,Benign,0.01,13000,1
37,Benign,0.003,13000,1
38,Benign,0.0001,13000,1
39,Benign,0.05,13000,0
40,Benign,0.02,13000,0
41,Benign,0.005,13000,0
42,Benign,0.0001,13000,0
